id;dni;nombre;apellido;telefono;fecha_nacimiento;email;direccion;ciclo
1;43904828J;Gemma;Zapata Vives;609829912;1982-07-16T21:53:01;Brittany97@yahoo.com;Edificio Nueva, 95;1
2;91939157S;Ana Cristina;Aguirre Llorens;606409291;2022-11-27T22:08:53;Anderson.Daniel44@yahoo.com;Placeta Horno, 71;9
3;63909697B;Jairo;Puente Vega;612402826;1989-06-06T20:29:01;Adrianna9@gmail.com;Cuesta Horno, 96;3
4;09353446J;Estefania;Escobar Requena;790295132;1953-03-28T13:35:04;Garnett_Armstrong@gmail.com;Travessera Iglesia, 36;6
5;05258900L;Matilde;Romero Peralta;05258900L;1983-12-07T03:40:26;Karli_Schuppe38@hotmail.com;Plaça Horno, 18;5
6;40043114E;Jose Carlos;Piñeiro Galvan;733273926;1961-10-15T06:29:49;Deven.Goyette@hotmail.com;Calleja Catalunya, 62;7
7;54957546N;Antonia;Requena Rodrigo;613690036;1998-07-30T11:36:26;Delta.Sanford@yahoo.com;Enparantza Pedralbes, 42;7
8;21695790M;Laura;Rivera Guzman;692650882;1993-01-03T13:23:17;Verona.Ullrich35@gmail.com;Alameda De España, 73;6
9;85529779R;Maria Angeles;Cobo Acosta;680107526;1985-11-23T20:36:54;Pauline.Sauer9@hotmail.com;Jardins De España, 49;8
10;43136146Z;Luis Antonio;Rovira Jimenez;737592022;2002-12-05T09:19:48;Grace_Schuster14@gmail.com;Travessera Mayor, 5;2
