id;dni;nombre;apellido;telefono;fecha_nacimiento;email;direccion;dias_vacaciones;especialidad;nomina_id;puesto_id
1;38048902W;Jesús;Alba Martos;631553045;1983-11-19T21:47:58;bdsvdfovu@techie.com;CAMINO REAL, 31, 03222, BENIMARFULL;20;monitor;5;1
2;50899453Q;Ana Maria;Macias Sanchis;786691184;1973-03-29T15:00:59;h8rkb2xfqr@iname.com;Carrera Mayor, 22;20;monitor;2;1
3;79206669M;Asier;Sierra Cruz;773432597;1977-01-04T00:29:26;Marianne71@gmail.com;Camino Pedralbes, 82;20;monitor;3;1
4;15893925M;Jose Francisco;Domenech Martin;602654122;1991-07-29T09:11:12;Chanel_Schumm51@yahoo.com;Bulevar Horno, 60;20;monitor;1;1
5;45645554F;Vicente;Alcalde Chaves;732648215;1960-06-31T22:36:58;Kris.Altenwerth@yahoo.com;invoice Urbanización Iglesia, 81;20;recepción;4;3
6;63295607K;Fidel;Camara Ferrer;685408407;1995-09-20T23:04:51;Rosina.Reichel@hotmail.com;Calleja De España, 96;20;limpiador;6;2
7;54224325P;Juana Maria;Lafuente Paez;716807444;1998-08-28T09:08:51;Jessy.Goyette@hotmail.com;Alameda Iglesia, 60;20;monitor;7;1
8;76097199C;Guadalupe;Estevez Mora;746753180;1957-07-06T05:25:46;Rowland48@gmail.com;Plaza Horno, 14;20;limpiador;8;2
9;93564723X;Sara;Acosta Navarro;619121237;1959-12-05T08:31:22;Leonora51@hotmail.com;Placeta Nueva, 99;20;limpiador;9;2
10;74414973Z;Maria Victoria;Soto Villegas;638591020;1996-09-25T01:38:54;Edmond_Smitham@hotmail.com;Calleja Iglesia, 73;20;monitor;10;1
